0.276,-0.095,7.003,-0.072,0.188,-0.315,0.08,-0.177,0.373,-0.278,0.268,-0.003,3.793,-0.006,0.039,-0.335,0.373,-0.126,0.283,-0.003,3.793,-0.016,3.36,0.007,0.118,-0.167,-0.147,-0.144,225.521,234.717,226.797,226.467,221.028,220.934,226.763,230.711,226.363,222.96,221.21,226.721,233.176,226.308,
0.27,-0.096,7.039,-0.067,0.251,-0.315,0.079,-0.177,0.436,-0.189,0.178,-0.037,3.673,-0.009,0.039,-0.336,0.436,-0.132,0.238,-0.037,3.673,-0.016,3.487,0.041,0.27,-0.038,-0.094,-0.085,225.503,235.231,226.753,226.773,220.941,220.74,226.682,230.606,226.318,222.865,221.16,226.697,233.901,226.613,
0.259,-0.098,7.232,-0.074,0.251,-0.288,0.079,-0.181,0.592,0.124,0.185,-0.039,3.681,-0.006,0.04,-0.349,0.592,-0.134,0.279,-0.039,3.681,-0.016,3.654,0.078,0.273,-0.047,0.089,0.088,225.573,235.483,226.781,227.487,221.714,221.379,226.685,230.557,226.304,223.277,221.539,226.768,233.984,227.478,
0.185,-0.124,7.253,-0.074,0.287,-0.23,0.08,-0.18,0.501,-0.038,0.192,-0.037,3.709,-0.005,0.05,-0.349,0.501,-0.13,0.243,-0.037,3.709,-0.015,3.634,0.078,0.3,-0.071,0.092,0.09,225.434,235.774,226.707,227.534,221.173,220.912,226.587,230.655,226.197,222.974,221.277,226.664,234.341,227.528,
0.129,-0.264,7.243,-0.021,0.244,-0.257,0.081,-0.18,0.41,-0.188,0.212,-0.036,3.854,-0.006,0.077,-0.356,0.41,-0.132,0.273,-0.036,3.854,-0.003,3.53,0.046,0.323,-0.065,0.033,0.025,225.119,235.846,226.584,227.508,220.86,220.681,226.468,230.416,226.09,222.894,221.298,226.497,234.502,227.499,
0.175,-0.273,7.336,0.128,0.312,-0.157,0.079,-0.18,0.414,-0.178,0.289,-0.042,3.914,-0.007,0.074,-0.356,0.414,-0.139,0.164,-0.042,3.914,0.046,3.46,0.01,0.327,-0.066,-0.153,-0.149,225.14,235.735,226.692,226.899,221.057,220.932,226.541,230.75,226.193,222.903,221.59,226.531,234.348,226.738,
0.176,-0.273,7.336,0.128,0.289,-0.182,0.071,-0.176,0.414,-0.151,0.291,-0.042,3.877,-0.006,0.073,-0.356,0.414,-0.136,0.189,-0.042,3.877,0.035,2.546,0.008,0.306,-0.069,-0.1,-0.09,225.142,235.714,226.435,226.906,221.108,220.983,226.359,230.747,225.956,222.961,221.622,226.067,234.317,226.747,
0.178,-0.272,7.278,0.129,0.231,-0.293,0.04,-0.173,0.408,-0.097,0.298,-0.044,3.813,-0.006,0.068,-0.361,0.408,-0.127,0.294,-0.044,3.813,-0.016,0.022,-0.045,0.22,-0.072,0.025,0.017,224.402,236.674,226.341,228.863,221.739,221.617,226.16,227.256,225.906,223.483,221.896,225.365,235.178,228.847,
0.174,-0.272,7.254,0.119,0.213,-0.293,0.04,-0.173,0.353,-0.209,0.303,-0.044,2.933,-0.013,0.068,-0.363,0.353,-0.127,0.259,-0.044,2.933,-0.016,0.039,-0.033,0.207,-0.068,-0.151,-0.147,224.317,236.609,226.086,228.258,221.396,221.34,226.067,227.393,225.797,223.292,221.738,225.311,235.16,228.107,
0.169,-0.265,7.027,0.122,0.222,-0.28,0.041,-0.171,0.402,-0.097,0.281,-0.044,0.355,0.145,0.061,-0.357,0.402,-0.125,0.129,-0.044,0.355,-0.015,0.105,-0.007,0.16,-0.058,-0.095,-0.085,224.282,237.465,225.427,229.353,222.212,222.071,225.0,225.484,225.521,223.431,221.922,225.253,235.968,229.199,
